'abbrev	abbreviation
ppor	post proof or recant
ppppppp	Prior Proper Planning Prevents Piss Poor Performance
pr	present
pr pple	present participle
pr0	professional
pr0n	porn
pr0nz	porn
pract	practice
prblm	Problem
prd	period
prec	preceding
pred	predicate
predic	predicate, predicative(ly)
pref	prefix
preggers	pregnant
prego	Pregnant
preh	prehistoric
prehist	prehistory, prehistoric
prep	preposition(al)
prerog	prerogative
pres	present
pres pple	present participle
presb	presbytery
preserv	preservation
prfct	perfect
prim	primer(s)
princ	principle(s)
print	printing
priv	privative
prn	porn
prncpl	principal
prncss	princess
prnoscrn	porn on screen
pro	professional
prob	probably
probab	probability, probabilities
probl	problem
probly	probably
probz	probably
proc	proceedings
prod	product
prol	prologue
prolly	Probably
prollz	probably
pron	pronoun
pronunc	pronunciation
prop	properly
propr	proprietary
pros	prosody
prov	proverb
provid	providence(s)
provinc	provincial
provis	provisional
proxie	proxy
prp	please reply
prsn	person
prt	partial retweet
prty	party
prv	private
prvrt	pervert
prw	parents are watching
ps	post script
ps1	Play Station 1
ps2	Play Station 2
ps3	Play Station 3
psa	Public Service Announcement
psbms	parent standing by my side
pseudo-arch	pseudo-archaic
pseudo-dial	pseudo-dialect
pseudo-sc	pseudo-Scots
psn	playstation netwok
pso	product superior to operator
psos	parent standing over sholder
psp	playstation portable
pssy	pussy
pst	please send tell
psych	psychology
psychoanal	psychoanalysis
psychoanalyt	psychoanalytic
psychol	psychology, psychologic(al)
psychopathol	psychopathology, psychopathologic(al)
pt	part
pt33n	preteen
ptbb	pass the barf bag
ptfo	passed the fuck out
pth	prime tanning hours
pthc	preteen hardcore
ptl	Praise the Lord
ptmm	please tell me more
pto	Personal Time Off
ptoyed	please turn off your electronic devices
ptp	pardon the pun
ptpop	pat the pissed off primate
ptw	play to win
pu	that stinks
publ	publication
puh-leaze	Please
purg	purgatory
purty	pretty
puter	Computer
pvp	player versus player
pvt	pervert
pw	parent watching
pwas	prayer wheels are spinning
pwb	pussy whipped bitch
pwcb	parents watching close by
pwd	password
pwms	playing with myself
pwn	made to look bad
pwn3d	owned
pwn3r	owner
pwnage	Ownage
pwnd	owned
pwned	made to look bad
pwner	owner
pwnt	owned
pwnz	owns
pwnzor	owner
pwob	Parent watching over back
pwoms	parent watching over my shoulder
pwor	power
pwos	parent was over sholder
pwp	plot, what plot?
pww	parents were watching
pxr	punk rocker
pydim	put your dick in me
pyfb	pay your fucking bill
pyfco	put your freaking clothes on
pyt	pretty young thing
pz	peace
pzled	puzzled
q	queue
q eliz	Queen Elizabeth
q2c	quick to cum
q33r	Queer
q4u	question for you
qc	quality control
qed	I've made my Point
qfe	quoted for emphasis
qfmft	quoted for motherfucking truth
qft	quoted for truth
qft&gj	quoted for truth and great justice
ql	cool
qld	Queensland
qls	reply
qltm	quietly laughing to myself
qna	question and answer
qool	cool
qoolz	cool
qotd	quote of the day
qotsa	queens of the stone age
qoty	quote of the year
qpr	quite pathetic really
qpwd	quit posting while drunk
qq	crying eyes
qs	quit scrolling
qt	cutie
qt3.14	cutie pie
qte	cutie
qtpi	cutie pie
quantum mech	quantum mechanics
queen’s bench div	Queen’s Bench Division
quot	quotation
quots	quotations
qv	quod vide, ‘which see’
qyb	quit your bitching
r	are
r u da?	are you there?
r u goin	are you going?
r u there?	are you there?
r-tard	retard
r.i.p.	rest in peace
r&d	research & development
r&r	rest & relaxation
r0x0rz	rocks
r2f	Ready To Fuck
r8	rate
r8p	rape
r8pist	rapist
r8t	rate
ra2	red alert 2 (game)
ra3	Red Alert 3 (game)
radiol	radiology
raebnc	read and enjoyed, but no comment
raf	random as fuck
rafo	read and find out
raoflmao	rolling around on floor laughing my ass off
rat	remotely activated trojan
rawk	Rock
rawks	rocks
rawr	roar
rb@u	right back at you
rb@ya	right back at ya
rbau	right back at you
rbay	right back at you
rbm	right behind me
rbtl	read between the lines
rbty	right back to you
rbu	rainbows, butterflies, unicorns
rc	remote control
rc church	Roman Catholic Church
rci	rectal cranial inversion
rcks	Rocks
rcsa	right click save as
rcvd	received
rdy	ready
re	reply
re/rehi	hello again
reas	reason(s)
reb	rebellion
rebell	rebellion
rec	record(s)
reclam	reclamation
recoll	recollection
redempt	redemption
redupl	reduplicating
ref	reference
refash	refashioned, refashioning
refl	reflexive
refus	refusal
refut	refutation
reg	regular
regic	regicide
regist	register
regr	register
rehi	hello again
rel	relative
rele	really
relig	religion, religious
reminisc	reminiscence(s)
remonstr	remonstrance
renfrewsh	Renfrewshire
rents	parents
rentz	parents
rep	report
reppin	representing
repr	representative, representing
reprod	reproduction, reproductive
rept	report
repub	republic
res	research
resid	residence, residential
reso	reservation
ret	return
retrosp	retrospective
retrotextual	One who is using out of date words and abbreviations while texting.
rev	review
revol	revolution
rfd	request for discussion
rff	really fucking funny
rflmao	rolling on the floor laughing my ass off
rfn	right fucking now
rfp	request for proposal
rfr	really fucking rich
rfs	really fucking soon
rgr	roger
rhcp	red hot chilli peppers
rhet	rhetoric
rhgir	really hot guy in room
rhip	rank has its privileges
rhk	roundhouse kick
rhode isl	Rhode Island
rhs	right hand side
ricl	rolling in chair laughing
rifk	rolling on the floor laughing
rihad	Rot In Hell And Die
rimjs	really i'm just saying
rino	republican in name only
ripair	repair
rite	right
ritjive	non virgin
riyl	recommended if you like
rjct	reject
rkba	right to keep and bear arms
rl	real life
rlbf	Real Life Boy Friend
rlco	real life conference
rlf	Real Life Friend
rlg	really loud giggle
rlgf	Real Life Girl Friend
rlly	really
rln	real life name
rly	really
rlz	rules
rlze	realize
rm	room
rmb	rings my bell
rme	rolling my eyes
rmetth	rolling my eyes to the heavens
rmlb	read my lips baby
rmma	reading my mind again
rmmm	read my mail man
rmr	remember
rmso	Rock My socks off
rn	right now
rnn	reply not necessary
rnt	aren't
ro	rock out
rockr	rocker
rodger	affirmative
rofalol	roll on the floor and laugh out loud
rofc	Rolling On Floor Crying
roffle	rolling on the floor laughing
roffle out loud	rolling on the floor laughing out loud
rofflecake	rolling on the floor laughing
rofflecopters	rolling on the floor with laughter
roffleol	rolling on the floor laughing out loud
roffles	rolling on floor laughing
rofflmfao	rolling on the floor laughing my fucking ass
rofl	rolling on the floor laughing
rofl&pmp	rolling on floor laughing and peeing my pants
roflao	rolling on the floor laughing my ass off
roflastc	Rolling On Floor Laughing And Scaring The Cat
roflcopter	Rolling on the floor laughing
roflcopters	rolling on the floor laughing, VERY funny.
roflkmd	rolling on the floor laughing kicking my dog
rofllh	rolling on the floor laughing like hell
roflmao	rolling on the floor laughing my ass off
roflmaoapimp	rolling on the floor laughing my ass off and peeing in my pants
roflmaoastc	rolling on floor laughing my ass off and scaring the cat
roflmaool	Rolling on the floor laughing my ass off out loud
roflmaopmp	rolling on the floor, laughing my ass off, pissing my pants
roflmaouts	Rolling on floor laughing my fucking ass off unable to speak
roflmaowpimp	rolling on floor laughing my ass off while peeing in my pants
roflmbfao	Rolling On Floor Laughing My Big Fat Ass Off
roflmbo	rolling on floor laughing my butt off
roflmfao	rolling on the floor laughing my fucking ass off
roflmfaopimp	rolling on the floor laughing my fucking ass off pissing in my pants
roflmfaopmp	rolling on flor laughing my fucking ass of peeing my pants
roflmgao	rolling on the floor laughing my gay ass off
roflmgdao	rolling on the floor laughing my god damn ass off
roflmgdmfao	roling on floor laughing my god damn mother fucking ass off
roflmgo	Rolling On Floor Laughing My Guts Out
roflmho	Rolling on the floor laughing my head off
roflmiaha	Rolling on the floor laughing myself into a heart attack
roflmmfao	rolling on the floor laughing my mother fucking ass off
roflol	rolling on floor laughing out loud
roflolbag	Rolling On The Floor Laughing Out Loud Busting A Gut
roflpimp	rolling on the floor laughing pissing in my pants
roflpmp	rolling on the floor laughing peeing my pants
roflwtime	Rolling on the Floor laughing with tears in my eyes
rofpml	rolling on the floor pissing myself laughing
rofwl	Rolling on the floor while laughing
roger	affirmative
rogl	rolling on ground laughing
roglmfao	rolling on ground laughing my fucking ass off
roi	Return On Investment
roids	steroids
roj	affirmative
rol	rolling over laugihng
rolmao	Rolling Over Laughing My Ass Off
rolmfao	rolling over laughing my fucking ass off
rom	Roman
rom antiq	Roman antiquities
rombl	rolled off my bed laughing
rong	wrong
roofles	rolling on the floor laughing
ror	raughing out roud
ross-sh	Ross-shire
rotf	rolling on the floor
rotfalol	roll on the floor and laugh out loud
rotffl	roll on the fucking floor laughing
rotfflmao	rolling on the fucking floor laughing my ass off
rotfflmfao	rolling on the fucking floor laughing my fucking ass off
rotfl	rolling on the floor laughing
rotflaviab	rolling on the floor laughing and vomiting in a bucket
rotflmao	rolling on the floor laughing my ass off
rotflmaofaktd	Rolling on the floor laughing my ass off farted and killed the dog
rotflmaool	rolling on the floor laughing my ass off out loud
rotflmaostc	rolling on the floor laughing my ass off scaring the cat
rotflmbo	rolling on the floor laughing my butt off
rotflmfao	rolling on the floor laughing my fucking ass off
rotflmfaopimp	rolling on the floor laughing my fucking ass off peeing in my pants
rotflmfaopmp	rolling on the floor laughing my ass off pissin my pants
rotflmfho	rolling on the floor laughing my fucking head off
rotflmho	rolling on the floor laughing my head off
rotflmmfao	rolling on the floor laughing my mother fucking ass off
rotflol	rolling on the floor laughing out loud
rotfpm	rolling on the floor pissing myself
rotfwlmao	rolling on the floor while laughing my ass off
rotg	rolling on the ground
rotgl	roll on the ground laughing
rotglmao	rolling on the ground laughing my ass off
rotm	right on the money
rotw	rest of the world
rowyco	rock out with your cock out
rox	rocks
roxb	Roxburgh
roxor	rock
roxorz	rocks
roxxor	rock
roy	royal
rp	roleplay
rpg	role playing game
rpita	royal pain in the ass
rplbk	reply back
rpo	royally pissed off
rq	real quick
rr	rest room
rrb	restroom break
rrq	return receipt requested
rrr	har har har (instead of lol)
rsn	real soon now
rsp	respawn
rspct	respect
rsps	Runescape Private Server
rsvp	repondez s'il vous plait
rt	real time
rta	read the article
rtard	retard
rtb	returning to base (home)
rtbm	read the bloody manual
rtbq	Read The Blinking Question
rtbs	reason to be single
rtf	return the favor
rtfa	read the fucking article
rtfaq	read the faq
rtff	read the fucking faq
rtffp	Read the fucking front page
rtfm	read the fucking manual
rtfmfm	read the fucking manual fucking moron
rtfmm	read the fucking manual moron
rtfp	read the fucking post
rtfq	Read The Fucking Question
rtfs	read the fucking summary
rtfu	Ready the fuck up
rtg	ready to go
rth	release the hounds
rtk	return to keyboard
rtl	report the loss
rtm	read the manual
rtr	Read the Rules
rtry	retry
rts	Real-time strategy
rtsm	read the silly manual
rtss	read the screen stupid
rttsd	right thing to say dude
rtwfq	read the whole fucking question
ru	are you
ru/18	are you over 18?
ru\\18	are you under 18?
ru18	are you 18
rua	are you alone
ruabog	are you a boy or girl
ruagoab	are you a girl or a boy
rubz2nt	are you busy tonight
rudim	rudiment(s)
rufkm	are you fucking kidding me
rugay	are you gay
rugta	are you going to answer
ruh	are you horny
ruk	are you ok?
rukm	are you kidding me
rumcymhmd	are you on medication cause you must have missed a dose?
rumf	Are you male or female
rumorf	are you male or female?
runts	are you nuts?
ruok	are you ok?
rur	are you ready
rus	are you serious?
rusos	are you sos (in trouble)?
russ	Russia, Russian
rut	are you there
ruup4it	are you up for it?
ruwm	are you watching me
rwb	Rich White Bitch
rx	regards
ryfm	read your friendly manual
ryo	roll your own
rys	read your screen
ryt	right
ryte	right
s	smile
s afr	South Africa(n)
s carolina	South Carolina
s dakota	South Dakota
s.i.n.g.l.e	Stay intoxicated nightly, get laid everyday.
s.i.t.	stay in touch
s.o.a.b.	son of a bitch
s.o.b.	son of a bitch
s.w.a.k.	sealed with a kiss
s'ok	it's okay
s'pose	suppose
s'up	what is up
s/b	should be
s^	what's up?
s2	love
s2a	sent to all
s2bu	Sucks to be you
s2r	send to receive
s2u	same to you
s2us	Speak to you soon
s3<==8	screwed in the ass
s3x	Sex.
s4b	shit for brains
s4l	spam for life
s4se	Sight For Sore Eyes
s8ter	skater
sab	slap a bitch
sadad	suck a dick and die
sagn	Spelling and Grammar Nazi
sah	sexy as hell
sahm	stay at home mom
saia	stupid asses in action
sam	(in the Bible) Samuel
sanm	starting a new message
sapfu	surpassing all previous foul ups
sask	Saskatchewan
sat	Saturday
sb	stand by
sbc	sorry bout caps
sbcg4ap	strongbads cool game for attractive people
sbd	silent but deadly
sbi	sorry 'bout it
sblai	stop babbaling like an idiot
sbrd	so bored
sbs	such bull shit
sbt	sorry bout that
sbta	sorry, being thick again
sbug	small bald unaudacious goal
sc	scilicet, ‘understand’ or ‘supply’
scand	Scandinavia, Scandinavian
sch	school
sci	science(s), scientific
scnr	sorry, I couldn't resist
scool	school
scot	Scottish
scotl	Scotland
scrilla	money
scrt	secret
scuicht	so coked up i can hardly type
scurred	scared
sd	suck dick
sdf^	shut da fuck up
sdfb	smoke dope fuck bitches
sdk	Software Development Kit
sdlc	Software Development Life Cycle
se	south-east, south-eastern
sec	second
secks	sex
secksea	Sexy
secksy	sexy
sed	said
see through your eyes	stye
seg	Shit Eatin Grin
seismol	seismology
seks	sex
sel	selected
sel comm	select committee
select	selection
sellin	selling
seo	Search Engine Optimization
sep	somebody else's problem
sept	September
ser	series
serm	sermon(s)
serp	search engine results page
sess	session
sete	smiling ear to ear
settlem	settlement
sev	several
sewag	scientifically engineered wild ass guess
sexc	sexy
sexe	sexy
sexi	Sexy
sexii	sexy
sexilicious	Very Sexy
sexx0rz	sex
sez	says
sf	surfer friendly
sfaiaa	so far as i am aware
sfam	Sister from another mother
sfb	shit for brains
sfe	safe
sfete	smiling from ear to ear
sfh	So Fucking Hot
sfipmp	so funny I peed my pants
sfla	stupid four letter acronym
sfm	so fucking much
sfp	sorry for partying
sfr	so fucking random
sfs	so fucking stupid
sfsg	So far so good
sfttm	stop fucking talking to me
sfu	shut the fuck up
sfw	safe for work
sfwuz	safe for work until zoomed
sfx	sound effects
sfy	speak for yourself
sg	so good
sgb	straight/gay/bisexual
sgbadq	Search google before asking dumb questions
sgi	Still got it
sgtm	slightly gigling to myself
sh	shit happens
shag	fuck
shaks	Shakespeare
shawty	girl
shb	should have been
shd	should
she's	She is
sheph	shepherd
shetl	Shetland
shexi	sexy
shexy	sexy
shhh	quiet
shiat	Shit
shid	slap head in disgust
shiet	shit
shite	shit
shiz	shit
shizit	shit
shiznat	shit
shiznit	shit
shizz	shit
shizzle	shit
shld	should
shmexy	sexy
shmily	see how much i love you
sho	sure
sho'nuff	sure enough
showin	showing
shrn	so hot right now
shropsh	Shropshire
sht	shit
shtf	shit hits the fan
shud	should
shuddup	Shut Up
shup	shut up
shure	sure
shut^	shut Up
shwaslomf	sitting here with a straight look on my face
shwr	shower
shyat	shit
shyt	shit
sia	say it again
siao	school is almost over
sibir	sibling in room
sic	said in context
sicl	sitting in chair laughing
sif	as if
sifn't	as if not
sig	Signature
siggy	Signature
sii	seriously impaired imagination
sil	sister-in-law
silf	Sister I'd Like To Fuck
simcl	sitting in my chair laughing
simclmao	sitting in my chair laughing my ass off
siol	Shout It Out Loud
sip	skiing in powder
sis	sister
sista	Sister
sit	stay in touch
sitb	sex in the but
sitcom	single income, two children, oppressive mortgage
sitd	still in the dark
sitmf	say it to my face
siu	suck it up
siup	suck it up pussy
siuya	shove it up your ass
sj	strong jaws
sk	spawn kill
sk8	skate
sk8er	skater
sk8ing	Skating
sk8r	skater
sk8ter	skater
sk8tr	skater
sked	schedule
skeet	ejaculate
skewl	school
skhool	school
skillz	skills
skl	School
sknkr	skincare
skool	school
skoul	school
sktr	skater
skwl	school
sl	second life
sl^t	Slut
sl4n	so long for now
slaw	sounds like a winner
sleepin	sleeping
sleepn	sleeping
slf	sexy little fuck
slgb	Straight/Lesbian/Gay/Bisexual
slirk	smart little rich kid
slm	see last mail
slng	slang
slo	slow
slom	sticking leeches on myself
slore	slutty whore
slos	someone looking over shoulder
slp	sleep
slt	something like that
sm	social media
sm1	someone
smaim	send me an instant message
smao	sweating my ass off
smb	see my blog
smbd	suck my big dick
smbt	Suck my big toe
smc	suck my cock
smd	suck my dick
smdb	suck my dick bitch
smdvq	suck my dick quickly
sme	subject matter expert
smeg	fuck
smem	send me e-mail
smexy	sexy
smf	stupid motherfucker
smfd	suck my fucking dick
smfpos	stupid mother fucking piece of shit
smh	shaking my head
smhb	suck my hairy balls
smho	Screaming My Head Off
smim	send me an instant message
smithwaws	Smack me in the head with a wooden spoon
smofo	stupid mother fucker
smop	small matter of programming
smst	somebody missed snack time
smt	suck my tits
smthin	something
smthng	something
smtm	sometime
smto	Sticking My Tongue Out
smtoay	Sticking my tongue out at you
sn	screen name
snafu	situation normal all fucked up
snafubar	Situation Normal All Fucked Up Beyond Any Recognition
snag	sensitive new age guy
snert	snotty nosed egotistical rotten teenager
snes	Super Nintendo Entertainment System
snew	what's new
snf	so not fair
snl	Saturday Night Live
snm	say no more
snog	kiss
snogged	kissed
so	significant other
soa	service oriented architecture
soab	son of a btch
soad	system of a down
soafb	son of a fucking bitch
sob	son of a bitch
sobs	same, old, boring shit
sobt	stressed out big time
soc	society
sociol	sociology, sociological
soddi	some other dude did it
soe	service oriented enterprise
sof	smile on face
sofs	same old fucking shit
sogop	shit or get off the pot
soh	sense of humor
sohf	sense of humor failure
soi	service oriented infrastructure
soiar	sit on it and rotate
soic	so i see
sok	It's ok
sokay	it's okay
sol	Shit outta luck
solomo	social, local, mobile
som	Somerset
som'm	something
som1	someone
somadn	sitting on my ass doing nothing
some1	someone
somf	sit on my face
soml	story of my life
somy	sick of me yet
song of sol	(in the Bible) Song of Solomon
song sol	(in the Bible) Song of Solomon
sonn	sonnet
soo	So
soobs	saggy boobs
sool	shit out of luck
sooya	snake out of your ass
sop	same old place
sorg	Straight or Gay
sorreh	sorry
sorta	sort of
sos	same old shit
sosad	same old song and dance
sosdd	same old shit, different day
sosg	spouse over shoulder gone
sot	suck on this
sotc	stupid off topic crap
sotmg	short on time, must go
sotr	sex on the road
sow	speaking of which
sowi	sorry
sowwy	sorry
soz	sorry
sp	spelling
span	Spanish
specif	specification(s)
specim	specimen(s)
spectrosc	spectroscopy
spk	speak
sploits	exploits
sploitz	exploits
spoc	single point of contact
spos	stupid peace of shit
sprm	sperm
sqtm	snickering quietly to myself
srch	search
srlb	spoiled rotten little brat
srly	seriously
sro	standing room only
sroucks	that's cool, but it still sucks
srry	sorry
srs	serious
srsly	seriously
srvis	Service
sry	sorry
srynd2g	sorry need to go
srzly	seriously
ss	screenshot
ss4l	smoking sista for life
ssa	ass backwards
ssc	super sexy cute
ssdd	same shit, different day
ssdp	same shit different pile
ssewba	someday soon, everything will be acronyms
ssia	subject says it all
ssl	secure sockets layer
ssob	stupid sons of bitches
ssry	so sorry
sssd	Same Shit Same Day
st	Saint
st1	stoned
st8	state
stafford	Staffordshire
staffordsh	Staffordshire
stand	standard
stat	statistical
statist	statistical
stb	soon to be
stbx	soon to be ex
stby	sucks to be you
std	sexually transmitted disease
steamloller	Laughing. Alot.
stfd	sit the fuck down
stff	stuff
stfm	search the fucking manual
stfng	search the fucking news group
stfu	shut the fuck up
stfua	shut the fuck up already
stfuah	shut the fuck up asshole
stfub	shut the fuck up bitch
stfuda	Shut the fuck up dumb ass
stfugbtw	shut the fuck up and get back to work
stfun	Shut the fuck up nigger
stfuogtfo	Shut the fuck up or get the fuck out.
stfuppercut	shut the fuck up
stfuyb	shut the fuck up you bitch
stfuysoab	shut the fuck up you son of a bitch
stfw	search the fucking web
stg	swear to god
sth	something
sthing	something
sthu	shut the hell up
stm	smiling to myself
stml	short term memory loss
stock exch	stock exchange
stoopid	stupid
stpd	stupid
stppynozgtw	stop picking your nose, get to work
str	strong
str8	straight
str8up	straight up
stratigr	stratigraphy, stratigraphical
struct	structure, structural
sts	so to speak
stsp	Same Time Same Place
stst	sweet tea sweetie
stt	Same time tomorrow
stud	studies
stufu	stupid fucker
stupd	stupid
stw	share the wealth
stys	speak to you soon
su	shut up
suac	shit up a creek
suagooml	shut up and get out of my life
suakm	shut up and kiss me
subj	subject
subjunct	subjunctive
subord	subordinate
subord cl	subordinate clause
subscr	subscription
subseq	subsequent(ly)
subst	substantive(ly)
suff	suffix
sufi	super finger
sufid	screwing up face in disgust
suib	shut up im busy
suk	suck
suka	Sucker
sukz	sucks
sul	see you later
sum1	someone
sumfin	Something
summin	something
sumthin'	Something
sumtin	something
sup	what's up
supa	super
superl	superlative
suppl	supplement, supplementary
supplic	supplication(s)
supposably	Supposedly
surg	surgery, surgical
surv	survey, surveying
sus	see you soon
susfu	situation unchanged, still fucked up
sut	see you tomorrow
sutuct	so you think you can type
sux	sucks
sux0rz	sucks
sux2bu	sucks to be you
suxor	Sucks
suxors	sucks
suxorz	sucks
suxx	sucks
suxxor	sucks
suyah	shut up you ass hole!
suyf	shut up you fool
sv	sub verbo, ‘under the word’
svn	seven
svu	special victims unit
sw	south-west, south-western
swafk	sealed with a friendly kiss
swag	scientific wild ass guess
swak	sealed with a kiss
swalbcakws	sealed with a lick because a kiss won't stick
swalk	sealed with a loving kiss
swdyt	so what do you think?
sweet<3	sweetheart
swf	single white female
swis	see what i'm saying
swit	sit and sweat
swl	screaming with laughter
swm	single white male
swmbo	she who must be obeyed
swmt	Stop Wasting My Time
swp	sorry wrong person
swsw2b	single when she wants to be
swt	sweet
swtf	seriously, what the fuck
swu	so what's up
sx	sex
sxc	sexy
sxcy	sexy
sxe	straight edge
sxi	sexy
sxs	sex
sxy	sexy
syatp	see you at the party
sydim	stick your dick in me
sydlm	Shut your dirty little mouth
syfm	shut your fucking mouth
syiab	see you in a bit
syiaf	see you in a few
syk	so you know
syl	see you later
syl8r	see you later
syll	syllable
sym	shut your mouth
symmetr	symmetrical
symp	symposium
syoa	Save Your Own Ass
syotbf	see you on the battlefield
syrs	see ya real soon
sys	see you soon
sysop	system operator
syst	system
syt	see you there
sytycd	so you think you can dance
syu	sex you up
sz	sorry
t,ftfy	there, fixed that for you
t.t.y.l	Talk To You Later
t@yl	talk at you later
t/a	Try again
t&c	terms & conditions
t#3	the
t2b	time to blunt
t2m	talk to me
t2u	talking to you
t2ul	talk to you later
t2ul8r	talk to you later
t2ut	talk to you tomorrow
t3h	the
t4a	thanks for asking
t4m	Transgender for Male
t8st	taste
ta	thanks again
tabom	that's a bunch of malarkey
tabooma	take a bite out of my ass
taci	that's a crappy idea
taf	that's all, folks
tafn	That's all for now
tah	take a hike
tahitmots	there's a hole in the middle of the sea
taht	that
tai	think about it
taig	That's all I got.
taks	that's a knee slapper
tal	thanks a lot
tam	thanks a million
tanj	there ain't no justice
tanq	thank you
tansit	there's a new sheriff in town
tanstaafl	there ain't no such thing as a free lunch
tard	retard
tarfu	things are really fucked up
tas	taking a shower
tat	that
tat2	tattoo
tau	thinking about you
taunch	te amo un chingo
taw	Teachers are Watching
taxon	taxonomy, taxonomic
tay	thinking about you
tayn	thinking about you now
tb	text back
tb4u	too bad for you
tba	to be anounced
tbc	To be continued
tbd	to be decided
tbe	thick between ears
tbf	to be fair
tbfh	to be fucking honest
tbfu	too bad for you
tbh	to be honest
tbhimo	to be honest in my opinion
tbiu	the bitch is ugly
tbnt	thanks but no thanks
tbp	The Pirate Bay
tbpfh	To be perfectly fucking honest
tbph	To be perfectly honest
tbqf	to be quite frank
tbqh	to be quite honest
tbss	too bad so sad
tbt	throwback thursday
tbtfh	to be totally freaking honest
tbu	thinking 'bout you
tbvh	to be very honest
tbyb	try before you buy
tc	take care
tcb	trouble came back
tcfc	Too Close For Comfort
tcfm	too cool for me
tcg	Trading Card Game
tchbo	Topic creater has been owned
tcob	taking care of business
tcoy	take care of yourself
tcp	transmission control protocol
tcp/ip	transmission control protocol/internet protocol
td&h	tall, dark and handsome
td2m	talk dirty to me
tddup	till death do us part
tdl	Too Damn Lazy
tdm	too darn many
tdtm	Talk Dirty To Me
tdwdtg	The Devil Went Down To Georgia
te	Team effort
techn	technical
technol	technology, technological
teh	the
tel	telegraph
telecomm	telecommunications
telegr	telegraph
teleph	telephony, telephonic
teotwawki	the end of the world as we know it
teratol	teratology
terd	shit
terminol	terminology, terminological
terrestr	terrestrial
textbk	textbook
tf	too funny
tf2	Team Fortress 2
tfa	the fucking article
tfb	time for bed
tfbundy	totaly fucked but unfortunatly not dead yet
tfc	Team Fortress Classic
tfd	total fucking disaster
tfds	that's for darn sure
tff	That's Fucking Funny
tfft	thank fuck for that
tffw	Too funny for words
tfh	thread from hell
tfic	Tongue Firmly In Cheek
tfiik	the fuck if i know
tfl	Thanks For Looking
tflms	thanks for letting me share
tfln	thanx for last night
tfm	too fucking much
tfmiu	the fucking manual is unreadable
tfn	thanks for nothing
tfs	thanks for sharing
tfta	thanks for the add
tftc	thanks for the cache
tfthaot	thanks for the help ahead of time
tfti	thanks for the information
tftt	thanks for the thought
tftu	thanks for the update
tfu	that's fucked up
tfu2baw	time for you to buy a watch
tfx	traffic
tfys	the fuck you say
tg	thank god
tg4a	thank god for acronyms
tgal	think globally, act locally
tgfe	together forever
tgfitw	The Greatest Fans In The World
tgft	thank god for that
tgfu	too good for you
tgfuap	thank god for unanswered prayers
tggtg	that girl/guy has got to go
tghig	thank god husband is gone
tgif	thank god it's friday
tgiff	thank god its fucking Friday
tgis	thank god it's saturday
tgiwjo	Thank God It Was Just Once
tgsttttptct	thank God someone took the time to put this crap together
tgtbt	Too Good To Be True
tgwig	thank god wife is gone
tgws	that goes without saying
th@	that
tha	the
thankies	Thank You
thankx	thank you
thanq	thank you
thanx	thank you
thar	there
thatz	that's
theat	theatre, theatrical
theatr	theatre, theatrical
theol	theology, theological
theoret	theoretical
thermonucl	thermonuclear
thes	thesaurus
thess	(in the Bible) Thessalonians
they're	They are
they've	They have
thks	thanks
thku	thank you
thn	then
thnk	think
thnx	thanks
tho	though
thr	there
thr4	therefore
thru	through
tht	that
thwdi	thats how we do it
thwy	the hell with you!
thx	thank you
thxx	thanks
thz	thank you
ti2o	that is too obious
tia	thanks in advance
tiafayh	Thanks in advance for all your help
tiai	take it all in
tiail	think i am in love
tias	Try It And See
tiatwtcc	this is a trap word to catch copiers
tic	tongue in cheek
tif	this is fun
tif2m	this is fucking 2 much
tifs	this is funny shit
tifu	that is fucked up
tigas	think i give a shit
tigger	tiger
tiic	the idiots in control
til	until
tilf	Teenager I'd Like To Fuck
tilii	tell it like it is
tim	(in the Bible) Timothy
tinf	this is not fair
tingtes	there is no gravity, the earth sucks
tinla	this is not legal advice
tinstaafl	There Is No Such Thing As A Free Lunch
tinwis	that is not what i said
tioli	take it or leave it
tis	is
tisc	that is so cool
tisfu	that is so fucked up
tisg	this is so gay
tisl	this is so lame
tisnc	this is so not cool
tisnf	that is so not fair
tisnt	that is so not true
tiss	This is some shit
tisw	that is so wrong
tit	(in the Bible) Titus
tiw	teacher is watching
tix	tickets
tjb	thats just boring
tjbnj	this job beats no job
tk	team kill
tk2ul	talk to you later
tkd	Tae Kwon Do
tker	team killer
tko	technical knock out
tks	thanks
tku	thank you
tku4uk	thank you for your kindness
tl	Tough Luck
tl,dr	Too long; didn't read
tl; dr	To Long; Didn't read
tl;dr	too long; didn't read
tl:dr	Too Long; Didn't Read
tl8r	talk later
tla	Three Letter Acronym
tlc	tender loving care
tld	told
tldnr	too long, did not read
tldr	Too long, didn't read.
tlgo	The list goes on
tlitbc	that's life in the big city
tliwwv	this link is worthless without video
tlk	talk
tlk2me	talk to me
tlk2ul8r	talk to you later
tlkin	talking
tlkn	talking
tltpr	Too long to proof read.
tlyk	to let you know
tm	trust me
tma	take my advice
tmaai	tell me all about it
tmai	tell me about it
tmalss	to make a long story short
tmbi	tell me about it
tmi	too much information
tmk	to my knowledge
tml	tell me later
tmmrw	tomorrow
tmnt	teenage mutant ninja turtles
tmo	take me out
tmoro	tomorrow
tmoz	tomorrow
tmr	tomorrow
tmr@ia	the monkeys are at it again
tmrrw	tomorrow
tmrw	Tomorrow
tmrz	tomorrow
tms	that makes sense
